18.4782,16.8504,1.34953,0.927295,0.0164288,-0.00401523,0.00164139,0.666008,844.693,3321.6,-141.134,3430.37,0.0169458,-3.41719,0.000286188,0.0849625,
18.4779,16.8504,1.35252,0.930956,0.152018,-0.0436457,0.0157421,0.666014,167.449,479.86,-16.5473,508.536,0.158826,-2.83079,7.89232,0.794744,
18.4777,16.8504,1.35551,0.932343,0.175161,-0.0521327,0.0184247,0.666021,87.2898,222.734,-6.89149,239.335,0.183682,-2.62922,19.7731,0.918444,
18.4774,16.8504,1.35851,0.93332,0.189353,-0.0578307,0.0201995,0.666028,68.1935,163.13,-4.71757,176.877,0.19912,-2.48831,29.5067,0.995118,
18.4772,16.8504,1.3615,0.934158,0.200537,-0.0625604,0.0216753,0.666037,58.8773,134.795,-3.7706,147.143,0.211388,-2.36789,37.8495,1.05596,
18.4769,16.8504,1.36449,0.934925,0.210039,-0.0667378,0.0229957,0.666048,53.3107,118.429,-3.20425,129.916,0.221889,-2.25794,44.92,1.10797,
18.4767,16.8504,1.36748,0.93564,0.218523,-0.070562,0.0242021,0.666057,49.4683,107.324,-2.83181,118.211,0.23131,-2.1554,51.053,1.15457,
18.4764,16.8504,1.37048,0.93632,0.226321,-0.0741459,0.0253273,0.666065,46.578,99.1361,-2.56624,109.563,0.24,-2.05794,56.4271,1.19753,
18.4762,16.8504,1.37347,0.936991,0.233489,-0.0775075,0.026416,0.666076,44.3464,93.1086,-2.3801,103.158,0.248037,-1.96226,60.7425,1.23719,
18.4759,16.8504,1.37646,0.937657,0.240292,-0.0807303,0.0274795,0.666088,42.4205,88.0337,-2.22807,97.747,0.255693,-1.8677,64.3822,1.27493,
18.4757,16.8504,1.37945,0.938289,0.246797,-0.0838442,0.0284712,0.666096,40.792,83.7625,-2.10423,93.1912,0.263017,-1.77752,67.7122,1.31103,
18.4754,16.8504,1.38245,0.938937,0.252884,-0.0867878,0.0294703,0.666111,39.3683,80.252,-2.00812,89.411,0.269917,-1.68583,69.9362,1.34495,
18.4752,16.8504,1.38544,0.939556,0.258853,-0.0896929,0.0304107,0.666119,38.0711,77.0314,-1.92182,85.9474,0.276675,-1.59785,72.1474,1.3782,
18.4749,16.8504,1.38843,0.940195,0.264467,-0.0924376,0.0313667,0.666136,36.8678,74.2201,-1.8508,82.8933,0.283072,-1.50781,73.2779,1.40958,
