10.6512,16.8504,-1.94066,0.913763,0.0963036,-0.0105013,0.0908033,0.654212,1148.79,2712.94,-790.424,3050.45,0.13263,-3.60482,0.688846,0.663908,
10.6493,16.8504,-1.93839,0.91763,0.148094,-0.0198784,0.1422,0.654245,204.782,421.14,-99.6156,478.8,0.206469,-3.0245,12.9586,1.03139,
10.6473,16.8504,-1.93613,0.919481,0.165462,-0.0245481,0.160572,0.654284,145.541,276.955,-56.7834,317.983,0.232316,-2.75724,22.6939,1.15938,
10.6453,16.8504,-1.93386,0.921067,0.178341,-0.0286913,0.174791,0.654328,128.392,233.962,-43.2109,270.362,0.252054,-2.5285,29.6339,1.25683,
10.6433,16.8504,-1.93159,0.922577,0.189555,-0.0326399,0.187433,0.654374,119.67,211.433,-35.9288,245.594,0.269517,-2.31113,34.8353,1.34286,
10.6414,16.8504,-1.92933,0.924098,0.199782,-0.0365096,0.19927,0.654425,114.485,198.148,-31.6944,231.03,0.285761,-2.09277,38.2925,1.42267,
10.6394,16.8504,-1.92706,0.925613,0.209337,-0.0402777,0.210446,0.654479,110.565,188.466,-28.7674,220.39,0.301084,-1.87578,40.5202,1.4978,
10.6374,16.8504,-1.92479,0.927196,0.218366,-0.0439675,0.221219,0.654538,106.823,180.307,-26.6971,211.271,0.315804,-1.65203,41.1766,1.56973,
10.6355,16.8504,-1.92253,0.928811,0.22699,-0.0475436,0.231617,0.654602,102.37,171.618,-24.8965,201.376,0.329998,-1.42511,40.7001,1.6389,
10.6335,16.8504,-1.92026,0.93038,0.235259,-0.0510187,0.241537,0.654665,98.1557,163.562,-23.3205,192.175,0.343587,-1.20471,39.7912,1.70509,
10.6315,16.8504,-1.91799,0.93204,0.242798,-0.0541962,0.250808,0.654742,90.2176,150.236,-21.4664,176.553,0.356243,-0.979413,36.9087,1.76636,
10.6296,16.8504,-1.91573,0.933635,0.250157,-0.057316,0.259769,0.654815,82.9504,137.928,-19.7133,162.153,0.368521,-0.762822,34.1247,1.82584,
10.6276,16.8504,-1.91346,0.93516,0.256028,-0.0597323,0.267067,0.654899,70.0365,116.578,-16.7856,137.031,0.378504,-0.570476,29.7024,1.87383,
10.6256,16.8504,-1.91119,0.936682,0.262089,-0.0622646,0.274524,0.654982,58.3673,97.2701,-14.1841,114.322,0.38874,-0.376013,25.433,1.92312,
